Sample,Network,M.BV/TV,M.BS/BV,M.Tb.Pf,M.SMI,M.Tb.Th,M.Tb.N,F.BV/TV,F.BS/BV,F.Tb.Pf,F.SMI,F.Tb.Th,F.Tb.N
C001,C,7.8146,0.1963,0.1058,3.2324,29.2736,0.0027,3.2707,0.3095,0.1536,2.977,17.5097,0.0019
C003,D,49.2361,0.0349,-0.0015,-0.2626,96.809,0.0051,42.3382,0.0405,-0.0043,-0.6418,82.3811,0.0051
C004,C,36.5079,0.0634,0.0202,1.9146,64.7118,0.0056,54.3395,0.0348,-0.0002,-0.0363,106.1301,0.0051
C005,D,21.792,0.0328,0.011,2.0064,129.6771,0.0017,24.6376,0.0418,0.0146,2.0907,102.9042,0.0024
C006,B,3.0257,0.167,0.0801,2.8764,27.9624,0.0011,1.2843,0.3015,0.1511,3.0069,20.5022,0.0006
C007,C,29.209,0.0416,0.013,1.8698,99.0965,0.0029,30.0509,0.0221,0.0062,1.6755,177.8542,0.0017
C008,B,2.3297,0.4582,0.3342,4.3769,22.4651,0.001,5.0458,0.2864,0.2663,5.5787,33.2769,0.0015
C009,B,3.7422,0.0954,0.0535,3.3665,54.8368,0.0007,7.3209,0.0987,0.0498,3.029,48.5251,0.0015
C010,E,40.4715,0.0879,0.0198,1.3494,54.0687,0.0075,54.5224,0.0598,-0.0186,-1.8683,62.7623,0.0087
C012,B,3.0213,0.3853,0.2122,3.3048,15.1271,0.002,10.6272,0.2243,0.1077,2.8814,24.7074,0.0043
C014,D,33.6586,0.0325,0.0052,0.9691,116.3668,0.0029,35.01,0.0414,0.0004,0.0612,84.2482,0.0042
C015,B,1.9106,0.0986,0.0506,3.0778,46.5485,0.0004,8.8605,0.0787,0.0328,2.498,55.2107,0.0016
C016,B,1.1609,0.0783,0.0422,3.2287,59.2687,0.0002,0.8715,0.0733,0.0413,3.3805,63.6648,0.0001
C018,C,23.8422,0.0249,0.0094,2.2574,179.0384,0.0013,28.901,0.022,0.0035,0.9613,164.84,0.0018
C019,B,0.2852,0.1305,0.1194,5.49,52.7254,0.0001,9.0749,0.0612,0.0244,2.3913,64.6859,0.0014
C020,B,5.0994,0.0689,0.0322,2.8015,61.0339,0.0008,15.4681,0.0602,0.0247,2.456,67.1969,0.0023
C021,C,10.7546,0.0544,0.0202,2.2236,75.942,0.0014,25.0175,0.0381,0.0094,1.4806,103.5068,0.0024
C022,B,1.601,0.2239,0.1286,3.4469,26.0399,0.0006,1.6959,0.3072,0.1519,2.9679,20.4275,0.0008
C023,D,26.5121,0.0848,0.0196,1.3852,49.2175,0.0054,28.5297,0.1014,0.0224,1.3278,40.077,0.0071
C024,C,6.6828,0.2157,0.1028,2.8608,23.9184,0.0028,12.6951,0.1081,0.0504,2.7955,41.0782,0.0031
C025,D,41.6041,0.0322,0.009,1.6691,130.2218,0.0032,29.1828,0.0416,0.0038,0.5473,88.2592,0.0033
C026,B,7.1246,0.2851,0.1735,3.652,19.2716,0.0037,4.4226,0.2384,0.1796,4.5211,22.9202,0.0019
C027,D,30.2246,0.0366,0.0047,0.7722,96.3959,0.0031,28.5455,0.0477,0.007,0.8844,74.5768,0.0038
C028,E,32.2062,0.0936,0.0059,0.3773,41.3772,0.0078,30.7833,0.1136,0.0114,0.6002,33.9824,0.0091
C029,B,5.9094,0.6023,0.2579,2.5696,11.4678,0.0052,3.3035,0.7755,0.3327,2.5744,10.2036,0.0032
C030,C,1.5807,0.1915,0.1113,3.4867,32.3152,0.0005,36.7776,0.051,0.0249,2.9284,94.2626,0.0039
C031,D,22.2525,0.0191,0.0055,1.7382,209.4667,0.0011,29.0742,0.0264,0.0059,1.3509,145.6898,0.002
C032,B,14.2771,0.0429,0.0296,4.1324,135.7301,0.0011,2.3359,0.1645,0.0967,3.5247,33.7058,0.0007
C033,B,1.6471,0.1114,0.0647,3.4817,45.5653,0.0004,4.053,0.0799,0.0418,3.1378,57.4957,0.0007
C034,B,18.1184,0.0907,0.0356,2.3556,49.9483,0.0036,5.3967,0.1322,0.0658,2.9864,40.4617,0.0013
C036,D,20.9478,0.0281,0.0067,1.4301,149.3726,0.0014,20.6702,0.0259,0.0064,1.4758,158.3686,0.0013
C037,B,3.0964,0.0868,0.0474,3.2738,58.8558,0.0005,3.9663,0.0762,0.041,3.2251,68.2131,0.0006
C038,B,5.0747,0.1221,0.0602,2.9575,40.7073,0.0012,5.5267,0.1132,0.0609,3.2247,48.9217,0.0011
C040,D,29.7131,0.1416,0.0428,1.8148,30.8881,0.0096,22.3497,0.1426,0.038,1.6007,29.3611,0.0076
C041,B,0.1755,0.16,0.102,3.8254,42.7622,0,1.5258,0.1245,0.0694,3.3451,43.0599,0.0004
C042,D,18.3327,0.0247,0.007,1.6932,162.766,0.0011,24.412,0.0285,0.0099,2.0915,147.4583,0.0017
C043,C,28.2304,0.0317,0.0101,1.9034,128.7563,0.0022,28.8109,0.0268,0.0071,1.5857,146.8423,0.002
C045,C,13.7208,0.0426,0.0168,2.3644,106.6234,0.0013,31.4741,0.0285,0.0054,1.1373,133.9354,0.0023
C046,B,0.077,0.2262,0.1369,3.6327,58.6483,0,0.7711,0.1567,0.0853,3.2653,35.5727,0.0002
C048,D,27.7985,0.0945,0.0219,1.3888,42.899,0.0065,33.4729,0.1135,0.0223,1.1788,35.058,0.0095
C049,C,5.0391,0.1249,0.0668,3.2089,42.6264,0.0012,33.2571,0.0559,0.0198,2.1264,81.69,0.0041
C050,D,54.8902,0.0452,-0.0117,-1.5602,83.9374,0.0065,15.8236,0.1563,0.0498,1.9134,28.4403,0.0056
C051,B,0.6138,0.1931,0.1104,3.4297,25.6564,0.0002,1.3669,0.166,0.1375,4.9674,36.0507,0.0004
