Sample,NMMB-M011879,NMMB-M011880,NMMB-M011881,NMMB-M011882,NMMB-M011883,NMMB-M011885,NMMB-M011886,NMMB-M011887,NMMB-M011888,NMMB-M011889,NMMB-M011891,NMMB-M011892,NMMB-M011893,NMMB-M011894,NMMB-M011895,NMMB-M011896,NMMB-M011897,NMMB-M011898,NMMB-M011899,NMMB-M011900,NMMB-M011901,NMMB-M011902,NMMB-M011903,NMMB-M011904,NMMB-M011905,NMMB-M011906,NMMB-M011907,NMMB-M011908,NMMB-M011909,NMMB-M011910,NMMB-M011911,NMMB-M011912,NMMB-M011913,NMMB-M011914,NMMB-M011915,NMMB-M011916,NMMB-M011917,NMMB-M011918,NMMB-M011919,NMMB-M011920,NMMB-M011921,NMMB-M011922,NMMB-M011923,NMMB-M011924,NMMB-M011925,NMMB-M011926,NMMB-M011927,NMMB-M011928,NMMB-M011929,NMMB-M011930,NMMB-M011931,NMMB-M011932,NMMB-M011933,NMMB-M011934
Scanner Modality,X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT),X-Ray Computed Tomography (CT/microCT)
Creator,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho,Kuan Yu Cho
Event date,2022/2/9,2022/2/9,2022/2/9,2022/6/15,2022/6/13,2022/6/20,2022/6/13,2022/6/20,2022/6/14,2022/6/20,2022/6/14,2022/6/15,2022/6/13,2022/6/14,2022/11/28,2022/11/24,2022/11/24,2022/11/24,2022/11/24,2022/11/25,2022/11/24,2022/11/24,2022/11/25,2022/11/24,2022/11/25,2022/11/25,2022/11/28,2022/11/23,2022/11/24,2023/3/25,2023/3/25,2023/3/24,2023/3/28,2023/3/24,2023/3/27,2023/3/24,2023/3/23,2023/3/28,2023/3/27,2023/3/24,2023/3/23,2023/3/24,2023/3/28,2023/3/24,2023/6/29,2023/6/28,2023/6/28,2023/6/28,2023/6/28,2023/6/29,2023/6/29,2023/6/29,,2023/6/28
Study Date and Time (log),09 Feb 2022  09h:44m:55s,09 Feb 2022  10h:26m:23s,09 Feb 2022  12h:01m:32s,15 Jun 2022  15h:55m:48s,13 Jun 2022  13h:43m:21s,20 Jun 2022  12h:35m:03s,13 Jun 2022  11h:20m:35s,20 Jun 2022  13h:42m:11s,14 Jun 2022  13h:56m:03s,20 Jun 2022  11h:28m:01s,14 Jun 2022  14h:57m:22s,15 Jun 2022  14h:41m:54s,13 Jun 2022  15h:21m:30s,14 Jun 2022  15h:52m:28s,28 Nov 2022  10h:16m:04s,24 Nov 2022  10h:47m:21s,24 Nov 2022  12h:32m:52s,24 Nov 2022  14h:56m:56s,24 Nov 2022  14h:30m:38s,25 Nov 2022  11h:28m:55s,24 Nov 2022  12h:13m:39s,24 Nov 2022  10h:08m:56s,25 Nov 2022  09h:16m:40s,24 Nov 2022  11h:25m:45s,25 Nov 2022  10h:00m:45s,25 Nov 2022  10h:44m:51s,28 Nov 2022  09h:55m:55s,23 Nov 2022  15h:28m:19s,24 Nov 2022  11h:54m:25s,25 Mar 2023  10h:20m:44s,25 Mar 2023  09h:43m:01s,24 Mar 2023  10h:52m:22s,28 Mar 2023  08h:53m:08s,24 Mar 2023  11h:06m:51s,27 Mar 2023  10h:06m:59s,24 Mar 2023  11h:31m:45s,23 Mar 2023  13h:46m:32s,28 Mar 2023  14h:12m:52s,27 Mar 2023  11h:10m:15s,24 Mar 2023  14h:35m:45s,23 Mar 2023  14h:55m:16s,24 Mar 2023  13h:59m:18s,28 Mar 2023  11h:02m:29s,24 Mar 2023  10h:20m:45s,29 Jun 2023  09h:50m:01s,28 Jun 2023  10h:51m:06s,28 Jun 2023  12h:16m:43s,28 Jun 2023  15h:57m:54s,28 Jun 2023  13h:29m:29s,29 Jun 2023  12h:11m:16s,29 Jun 2023  14h:25m:26s,29 Jun 2023  10h:24m:19s,,28 Jun 2023  09h:54m:42s
Software,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,NRecon,,NRecon
Description,"SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 8.076066 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 40 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 60 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 453 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 60 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 453 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 453 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 11.075948 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 60 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 20.524122 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 850 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 850 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 850 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 850 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 12.076514 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 565 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.068223 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 45 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 565 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.068223 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 45 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 565 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.068223 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 45 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 565 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.068223 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports  projections,  kV,  uA,  ms exposure,  filter, and  um image pixel size.","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size."
Description attachment file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photographic reference file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,Al 0.5mm,,Al 0.5mm
Exposure time,531 ms,531 ms,531 ms,531 ms,531 ms,453 ms,531 ms,453 ms,531 ms,453 ms,531 ms,531 ms,531 ms,531 ms,550 ms,550 ms,550 ms,550 ms,550 ms,850 ms,550 ms,550 ms,850 ms,550 ms,850 ms,850 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,550 ms,,550 ms
