Variable,Statistic,Df,P,P_adjusted_holm
M.BV/TV,33.133794938093615,3.0,3.0180272246149e-07,3.0180272246149e-06
M.BS/BV,20.594401657741614,3.0,0.00012779909801823936,0.0003833972940547181
M.Tb.Pf,30.720465862327476,3.0,9.73404056912719e-07,7.787232455301752e-06
M.SMI,37.19505494505498,3.0,4.184244921298846e-08,5.021093905558616e-07
M.Tb.Th,14.33500737573138,3.0,0.0024828633702803312,0.0024828633702803312
M.Tb.N,23.060665180230416,3.0,3.922413051329614e-05,0.0001961206525664807
F.BV/TV,33.08468002585653,3.0,3.090893857588528e-07,3.0180272246149e-06
F.BS/BV,22.628284275870158,3.0,4.826733419769087e-05,0.0001961206525664807
F.Tb.Pf,29.09781855020116,3.0,2.135903831528994e-06,1.4951326820702957e-05
F.SMI,34.27562445096382,3.0,1.7327387457214525e-07,1.9060126202935978e-06
F.Tb.Th,19.249084249084262,3.0,0.00024281724380815012,0.00048563448761630024
F.Tb.N,23.93265521067704,3.0,2.580186387894482e-05,0.0001548111832736689
