Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
M.BV/TV,0.32075794076539055,0.22204915284817153,0.22740430279983204,-0.3151937597324704,-0.18896425557272392,0.08652715877177308,0.031457232205464036,-0.6383889836842906,0.03689452650013187,-0.46742754840926065,0.13749136358456193,-0.07918717607369226
M.BS/BV,-0.3211692165932113,0.2633129640309098,0.2844707133785964,0.17118698420889067,-0.05238016004028051,-0.08008818395563613,0.1360346273135936,0.02231094783563986,-0.33154739596880506,0.12886989556141815,0.5039619129469264,-0.5555342607795091
M.Tb.Pf,-0.34511823271896297,0.1662438140288931,0.23672190305651805,0.22705413283832798,-0.17190851634345164,0.034279584137736685,0.3082760194949281,-0.30109516118158414,-0.3832370023252234,0.10637427989743964,-0.2867437093175814,0.5374360340967196
M.SMI,-0.28035773079107384,-0.27013949634050516,-0.1821134384793373,0.4674665152153621,-0.023974171542611514,0.5791345285246665,-0.347003754354562,-0.2925429716095317,0.06421555136397984,-0.1843585534050179,0.08906000252614016,-0.09341301769427732
M.Tb.Th,0.2521867412899821,-0.2571754365451666,0.4740802286104619,-0.20134156853027665,0.11765514367716312,0.6447497598892022,0.2516465710220298,0.17745565589612036,-0.03966030198883043,0.27456401366033123,0.057829366607904026,0.01755240601257163
M.Tb.N,0.18962248909035295,0.4840580510188578,-0.12153992620406036,-0.11895870377180631,-0.37583528787533443,0.23934408796684117,-0.5338253593118142,0.06168828366645608,-0.1615053924270598,0.4266053075852966,-0.019945016783974673,0.07086176281786294
F.BV/TV,0.3208041824060486,0.1366239374595001,0.15442390577132326,0.5496883522288882,-0.10942432685225889,-0.13477188108526814,0.1686884113860781,-0.16188443664092306,0.5702660152314034,0.32320681857029887,0.17496118395137006,0.08566016124971634
F.BS/BV,-0.29548947558831967,0.3006429322274382,0.3284004709924092,-0.08323146462871356,0.24687389959131698,0.04893965971529215,-0.27622762866542344,0.2785717350020584,0.2904943978811741,-0.28351044045774565,0.3518610217768017,0.4491195613626656
F.Tb.Pf,-0.33423540655051576,0.21251843344722893,0.3168562349905082,-0.09211132717703716,-0.033203548258990224,0.06696347084739192,-0.06229801884100007,0.004392786774163507,0.4108925168288799,0.019807952650464204,-0.6269154981246843,-0.4031194106853497
F.SMI,-0.3162700432417768,-0.20530799216816872,-0.15505106585805017,-0.27196193912477096,-0.7236701013190284,0.06185175410801866,0.2568663442390338,0.14639859860336576,0.29650390046786473,-0.008357094232726237,0.2259328807069881,0.076490291130178
F.Tb.Th,0.2361888709413131,-0.29156481424563846,0.46141806430431187,0.2917059406449097,-0.41641855757093854,-0.21418880853739633,-0.30250372913637574,0.3057779815111196,-0.2028271155361206,-0.3114605307579672,-0.13618081696664747,-0.01497109302972871
F.Tb.N,0.19735298704311227,0.4460032864161287,-0.26381464487660566,0.26448984430524286,-0.07211741644966779,0.31905180520476284,0.3881191195503724,0.40207621671343174,-0.0508681070218744,-0.4241607144237441,-0.12724511464069588,-0.0677636781755806
