PC,StandardDeviation,ProportionVariance,CumulativeVariance
PC1,2.557593281993463,0.545106949674841,0.545106949674841
PC2,1.659655904299429,0.22953814338966289,0.7746450930645039
PC3,1.1099354583691996,0.10266306014543707,0.8773081532099409
PC4,0.8383979021227778,0.058575920190322886,0.9358840734002638
PC5,0.4995660093395877,0.020797183140623416,0.9566812565408872
PC6,0.4364629535282046,0.015874992483546967,0.9725562490244342
PC7,0.3697138474689067,0.011390694084188495,0.9839469431086226
PC8,0.31998813288383093,0.008532700432206684,0.9924796435408293
PC9,0.2339752695388126,0.004562035562979998,0.9970416791038093
PC10,0.15374986900068946,0.001969918518144097,0.9990115976219534
PC11,0.10114258615617269,0.0008524852278632344,0.9998640828498165
PC12,0.04038571284745427,0.00013591715018308604,0.9999999999999997
