Sample,Network,DistanceToMedian
C001,C,4.103330368423005
C003,D,2.1201452620207135
C004,C,3.1256883689709083
C005,D,1.8525229476278458
C006,B,1.4007465730931021
C007,C,1.298574794028702
C008,B,4.291995948864079
C009,B,0.7384487263337387
C010,E,3.636251692983909
C012,B,2.5955069781161026
C014,D,0.8428171078313199
C015,B,1.0904329140410038
C016,B,1.1867278622678443
C018,C,2.0333341360841204
C019,B,1.8715261959917002
C020,B,1.650024779229853
C021,C,0.9335322585362903
C022,B,1.4943965038664604
C023,D,2.1624892034312837
C024,C,3.046252531465258
C025,D,1.0183347235907754
C026,B,2.41765648854259
C027,D,0.41854120193216765
C028,E,2.818341471250712
C029,B,5.944425778195465
C030,C,2.6657504206376617
C031,D,2.923452775727588
C032,B,2.209896581861933
C033,B,0.7687584036348806
C034,B,1.8042507660147362
C036,D,2.5418614945705973
C037,B,1.0227091497608836
C038,B,0.6053646920139898
C040,D,3.7265408004857306
C041,B,0.6967908986682827
C042,D,2.6487366033232873
C043,C,1.058704055579465
C045,C,0.7843680378849223
C046,B,1.0008664268804155
C048,D,3.1283254824954976
C049,C,2.0418156506345655
C050,D,3.148837282111855
C051,B,1.6234681968203863
C052,B,1.5513937139646814
C053,B,9.550573772168091
C054,C,1.3191036161251903
C055,D,2.847725222279278
R001,E,0.8522730691608686
R002,C,3.4465889498810607
R003,C,2.5340254732430374
R004,E,1.0546221690665678
