Variable,Statistic,Df,P,P_adjusted_holm
M.BV/TV,35.76996239055063,3.0,8.375668723702337e-08,9.213235596072571e-07
M.BS/BV,23.314451115200015,3.0,3.472471074352305e-05,0.0002083482644611383
M.Tb.Pf,33.30548932793379,3.0,2.77651717146119e-07,2.498865454315071e-06
M.SMI,39.21052183111007,3.0,1.566264420993121e-08,1.8795173051917454e-07
M.Tb.Th,16.495692542751357,3.0,0.0008972204171190931,0.0010191865181389834
M.Tb.N,22.79463109354418,3.0,4.456538373722364e-05,0.0002228269186861182
F.BV/TV,33.07124248300724,3.0,3.1111339289346465e-07,2.498865454315071e-06
F.BS/BV,21.58006209366001,3.0,7.976232516633449e-05,0.00023928697549900347
F.Tb.Pf,29.356935545674396,3.0,1.8841714037570342e-06,1.318919982629924e-05
F.SMI,34.3645442792502,3.0,1.6594217130913783e-07,1.6594217130913784e-06
F.Tb.Th,17.6899453487689,3.0,0.0005095932590694917,0.0010191865181389834
F.Tb.N,22.291472698610058,3.0,5.672725920049946e-05,0.00022690903680199783
