Sample,Network,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
C001,C,-2.386779531040327,0.45816414119316085,-0.5068117212466362,-0.5164063910171065,0.2564193639422323,0.15703429422843931,-0.48851889981641955,-0.014056479498778076,0.2493031256620706,-0.06255963696517204,-0.12174446265285253,0.056984014954318894
C003,D,3.5988192031315394,1.7282488842454071,0.5093381241612076,-0.06138454685159612,0.5449372371110374,-0.42835194266823823,0.16423571959431912,-0.5810397760955173,0.03772097253055007,0.08313136832117589,-0.06670225948028324,0.0008236274937483472
C004,C,2.9006965962940177,1.3859002325238132,0.10981227993638802,1.540654154444425,-0.16514872575284034,-0.1659044899979234,-0.44706848710478997,-0.6345487852881674,0.46613486775078206,0.25420994937206126,0.08310411549961859,0.021621371567694482
C005,D,1.2471427979708207,-1.0860613419132146,0.41632170650015743,-0.14839036961976224,0.019153401891578416,0.26737038235639765,0.27599141096071833,0.15399415828806998,0.2008987413399026,0.09165592419755554,0.07878361570662848,0.01735873729719596
C006,B,-2.519515675526563,-0.2637559708967465,-0.44591516660192737,-0.7510587433916976,0.6337498505680316,-0.36172709027418953,-0.39673488930458495,0.0836101083059518,0.42066011056969776,-0.04967770471075793,-0.13593939808530495,0.01928511585455096
C007,C,1.9021990284888572,-1.0365081574570065,1.0013437593521548,0.3943295830548961,-0.769455474237292,-0.5108104641579637,-0.6310856439520126,0.0074595622173582255,-0.10200993360908565,-0.21696669448185252,-0.04271808730811521,-0.008279365057323773
C008,B,-5.119935538726917,0.34207538957444455,0.5655007374484252,0.39854475831445374,-1.526639007146379,0.3391120728128139,0.8668669535954548,-0.5569649801366937,-0.028347930321387858,0.1199227878596264,-0.35379314828432207,0.04325541321213713
C009,B,-1.2448218341296335,-1.2253832378905893,-0.9032847051243248,-0.15557942891600163,0.26007011995170254,-0.008107689153351782,-0.00026853600170856297,0.05605905799992525,0.053526863052414685,-0.046012788864706056,0.01617438631614584,-0.015197488806735713
C010,E,3.697022008969725,3.243110645757058,-0.5244826731917481,1.786985328682742,0.7138615054817433,0.2548536659745371,-0.29059271711490137,-0.4586414005179236,-0.05534681730475275,0.10926148094946261,-0.08442771979017494,-0.04364503225235292
C012,B,-2.6627023792471096,1.050275721285849,-0.5077924543599793,0.8365314265446065,-0.10479516104663208,0.025136642084891084,0.6643179152914267,-0.004576132275091209,-0.659888883308478,-0.0633565170248456,0.1281709841546729,-0.016128392659189143
C014,D,2.5461882372556066,0.39404836682740535,0.4293360941542462,0.17158413875552025,0.7860918898218769,-0.012570776897222465,0.3435204235592275,-0.22663110779376094,0.07180073295617617,0.058529385814814934,-0.06307033609023141,-0.013645036077580316
C015,B,-0.9973420574249963,-1.2116591679868751,-0.9229683561754589,0.06901387438838898,0.5100183641068635,-0.34374460932931694,0.02272838004657792,0.10944015928904885,-0.11903017243701686,-0.05183054978594459,-0.026457573467394316,-0.03153188012758695
