Sample,Network,DistanceToMedian
C001,C,3.8007281960794526
C003,D,2.235784123017173
C004,C,3.193895524266953
C005,D,1.6683775529743143
C006,B,1.4007465730931021
C007,C,1.6836632080841318
C008,B,4.291995948864079
C009,B,0.7384487263337387
C010,E,3.636251692983909
C012,B,2.5955069781161026
C014,D,0.8834941991150367
C015,B,1.0904329140410038
C016,B,1.1867278622678443
C018,C,2.426133191468138
C019,B,1.8715261959917002
C020,B,1.650024779229853
C021,C,0.662400214852977
C022,B,1.4943965038664604
C023,D,2.439791661968137
C024,C,2.668293817008256
C025,D,0.8403265218988408
C026,B,2.41765648854259
C027,D,0.6244448404274549
C028,E,2.818341471250712
C029,B,5.944425778195465
C030,C,2.2918250897563417
C031,D,2.644186708444431
C032,B,2.209896581861933
C033,B,0.7687584036348806
C034,B,1.8042507660147362
C036,D,2.2797921810536916
C037,B,1.0227091497608836
C038,B,0.6053646920139898
C040,D,3.9469798427611167
C041,B,0.6967908986682827
C042,D,2.3901035229859544
C043,C,1.513858276731443
C045,C,0.9587990940535129
C046,B,1.0008664268804155
C048,D,3.3896172886393794
C049,C,1.6215435407378538
C050,D,3.2964348668984376
C051,B,1.6234681968203863
C052,B,1.5513937139646814
C053,B,9.550573772168091
C054,C,1.18604195060542
C055,D,3.0375780492203055
R001,E,0.8522730691608686
R002,D,3.588465480936589
R003,D,2.1338704865179094
R004,E,1.0546221690665678
